M D Y: 10 03 2025
10:46:51 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:51 Gateway 0, reading I: PPS DETECTED
10:46:51 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:46:51 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:52 Gateway 0, reading I: PPS DETECTED
10:46:53 Gateway 0, reading I: PPS DETECTED
10:46:54 Gateway 0, reading I: PPS DETECTED
10:46:55 Gateway 0, reading I: PPS DETECTED
10:46:56 Gateway 0, reading I: PPS DETECTED
10:46:57 Gateway 0, reading I: PPS DETECTED
10:46:58 Gateway 0, reading I: PPS DETECTED
10:46:59 Gateway 0, reading I: PPS DETECTED
10:47:00 Gateway 0, reading I: PPS DETECTED
10:47:01 Gateway 0, reading I: PPS DETECTED
10:47:02 Gateway 0, reading I: PPS DETECTED
10:47:03 Gateway 0, reading I: PPS DETECTED
10:47:04 Gateway 0, reading I: PPS DETECTED
10:47:05 Gateway 0, sending b'NIBR\xe2*\x19\x8d\xda\xbb'
10:47:05 Gateway 0, reading I: READ FROM NIB
10:47:05 Gateway 0, reading I: PPS DETECTED
10:47:05 Gateway 0, sending b'NIBR\xf0\xe9\xbaV\xc7\x82'
10:47:05 Gateway 0, reading I: READ FROM NIB
10:47:06 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
10:47:06 Gateway 0, reading I: READ I: PPS DETECTED
10:47:06 Gateway 0, reading FROM NIB
10:47:06 Gateway 0, reading I: [E2:2A:19:8D:DA:BB (random)] Sensor NIB read:
10:47:06 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:06 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:47:06 Gateway 0, reading I: READ FROM NIB
10:47:06 Gateway 0, reading I: [F0:E9:BA:56:C7:82 (random)] Sensor NIB read:
10:47:06 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:07 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:47:07 Gateway 0, reading I: PPS DETECTED
10:47:07 Gateway 0, reading I: READ FROM NIB
10:47:07 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:47:07 Gateway 0, reading 52454144592d2d4e4f4445313239212121212121212121212121212121212152
10:47:07 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
10:47:07 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:08 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:47:08 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:08 Gateway 0, reading I: PPS DETECTED
10:47:09 Gateway 0, reading I: PPS DETECTED
10:47:10 Gateway 0, reading I: PPS DETECTED
10:47:11 Gateway 0, reading I: PPS DETECTED
10:47:12 Gateway 0, reading I: PPS DETECTED
10:47:13 Gateway 0, reading I: PPS DETECTED
10:47:14 Gateway 0, reading I: PPS DETECTED
10:47:15 Gateway 0, reading I: PPS DETECTED
10:47:16 Gateway 0, reading I: PPS DETECTED
10:47:17 Gateway 0, reading I: PPS DETECTED
10:47:18 Gateway 0, reading I: PPS DETECTED
10:47:19 Gateway 0, reading I: PPS DETECTED
10:47:20 Gateway 0, reading I: PPS DETECTED
10:47:21 Gateway 0, reading I: PPS DETECTED
10:47:22 Gateway 0, reading I: PPS DETECTED
10:47:22 Gateway 0, sending b'NIBR\xe2*\x19\x8d\xda\xbb'
10:47:22 Gateway 0, reading I: READ FROM NIB
10:47:22 Gateway 0, sending b'NIBR\xf0\xe9\xbaV\xc7\x82'
10:47:22 Gateway 0, reading I: READ FROM NIB
10:47:23 Gateway 0, reading I: [E2:2A:19:8D:DA:BB (random)] Sensor NIB read:
10:47:23 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:23 Gateway 0, reading I: PPS DETECTED
10:47:23 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
10:47:23 Gateway 0, reading I: READ FROM NIB
10:47:23 Gateway 0, reading I: [F0:E9:BA:56:C7:82 (random)] Sensor NIB read:
10:47:23 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:23 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:47:23 Gateway 0, reading I: READ FROM NIB
10:47:23 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:47:23 Gateway 0, reading 52454144592d2d4e4f4445313239212121212121212121212121212121212152
10:47:24 Gateway 0, reading I: PPS DETECTED
10:47:24 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:47:24 Gateway 0, reading I: READ FROM NIB
10:47:24 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
10:47:24 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:25 Gateway 0, reading I: PPS DETECTED
